stn;time;fu3010h1;gre000h0;tre200h0;rre150h0;fu3010h0
NABZUE;2022010100;14.0;-2;6.1;0.0;6.8
NABZUE;2022010101;11.2;-2;5.9;0.0;6.1
NABZUE;2022010102;12.2;-2;5.6;0.0;4.7
NABZUE;2022010103;6.8;-2;4.6;0.0;2.5
NABZUE;2022010104;7.6;-2;4.5;0.0;4.3
NABZUE;2022010105;6.1;-1;4.2;0.0;2.5
NABZUE;2022010106;10.4;-2;4.0;0.0;5.0
NABZUE;2022010107;8.6;-1;3.9;0.0;3.2
NABZUE;2022010108;10.1;21;3.5;0.0;5.4
NABZUE;2022010109;6.8;119;3.3;0.0;4.3
NABZUE;2022010110;8.3;231;3.0;0.0;4.3
NABZUE;2022010111;7.2;300;5.4;0.0;4.0
NABZUE;2022010112;6.8;337;7.9;0.0;4.0
NABZUE;2022010113;10.4;299;9.2;0.0;6.8
NABZUE;2022010114;7.9;232;10.2;0.0;3.6
NABZUE;2022010115;6.5;138;10.9;0.0;3.2
NABZUE;2022010116;7.2;11;9.4;0.0;4.3
NABZUE;2022010117;7.2;-2;7.7;0.0;2.9
NABZUE;2022010118;6.8;-2;6.8;0.0;2.9
NABZUE;2022010119;9.0;-2;6.4;0.0;4.0
NABZUE;2022010120;8.3;-2;5.6;0.0;3.2
NABZUE;2022010121;5.8;-2;4.9;0.0;2.9
NABZUE;2022010122;6.8;-2;4.4;0.0;3.2
NABZUE;2022010123;7.9;-2;4.1;0.0;2.5
NABZUE;2022010200;7.6;-2;3.9;0.0;3.2
NABZUE;2022010201;6.8;-1;3.6;0.0;2.5
NABZUE;2022010202;4.7;-1;3.5;0.0;2.2
NABZUE;2022010203;9.4;-2;3.1;0.0;4.0
NABZUE;2022010204;6.1;-1;2.9;0.0;2.5
NABZUE;2022010205;6.1;-2;2.7;0.0;2.5
NABZUE;2022010206;5.0;-1;2.3;0.0;2.5
NABZUE;2022010207;6.1;-1;2.4;0.0;2.5
NABZUE;2022010208;8.3;23;2.5;0.0;2.9
NABZUE;2022010209;11.5;157;3.4;0.0;3.6
NABZUE;2022010210;14.4;102;4.9;0.0;6.8
NABZUE;2022010211;12.2;350;6.9;0.0;5.4
NABZUE;2022010212;11.2;160;9.5;0.0;5.8
